id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;desc_nomof;geojson
16214;1033;ALBERDI, JUAN BAUTISTA AV.;1502;1550;1501;1549;PROVINCIAS UNIDAS;AVENIDA;;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44911,-34.626],[-58.44935,-34.62611],[-58.45005,-34.62647]]]}"
16241;3159;CONSTITUCION;2602;2700;2601;2699;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40288,-34.62659],[-58.40157,-34.62639]]]}"
16250;4103;D'ESPOSITO, ARNALDO;102;150;101;149;;CALLE;corrección nombre y num.6-2;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36275,-34.62625],[-58.36405,-34.62659]]]}"
16260;12114;LINIERS VIRREY;1202;1300;1201;1299;LINIERS;CALLE;corrección numeración 17-1;Ciclovías;Mano izquierda;Calle;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41344,-34.62667],[-58.41357,-34.62514]]]}"
16268;19035;RINCON;1402;1500;1401;1499;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3946,-34.62547],[-58.39443,-34.62668]]]}"
16270;3242;CABOTO;102;200;101;199;GABOTO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36214,-34.62666],[-58.36275,-34.62625]]]}"
16275;1149;AZOPARDO;1502;1600;1501;1599;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.3663,-34.6267],[-58.36634,-34.62648],[-58.36647,-34.62539],[-58.36649,-34.6252]]]}"
16281;3159;CONSTITUCION;2702;2800;2701;2799;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40394,-34.62676],[-58.40288,-34.62659]]]}"
16320;21004;TACUARI;1502;1600;1501;1599;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37801,-34.62566],[-58.37726,-34.62683]]]}"
16330;4103;D'ESPOSITO, ARNALDO;152;250;151;249;;CALLE;corrección nombre y num.6-2;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36405,-34.62659],[-58.36424,-34.62664],[-58.36523,-34.62688]]]}"
16335;1033;ALBERDI, JUAN BAUTISTA AV.;1552;1600;1551;1599;PROVINCIAS UNIDAS;AVENIDA;;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.45005,-34.62647],[-58.45097,-34.62694]]]}"
16353;3159;CONSTITUCION;2802;2900;2801;2899;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40543,-34.627],[-58.40394,-34.62676]]]}"
16354;4014;DEAN FUNES;1302;1400;1301;1399;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.4056,-34.62577],[-58.40543,-34.627]]]}"
16382;21045;TREINTA Y TRES ORIENTALES;1002;1050;1001;1049;TREINTA Y TRES;CALLE;corrección numeración 17-1;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42284,-34.62643],[-58.42279,-34.62665],[-58.42268,-34.6271]]]}"
16406;3242;CABOTO;202;300;201;299;GABOTO;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36142,-34.62714],[-58.3616,-34.62702],[-58.36214,-34.62666]]]}"
16422;3159;CONSTITUCION;2902;3000;2901;2999;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40676,-34.6272],[-58.40543,-34.627]]]}"
16446;3159;CONSTITUCION;3002;3046;3001;3045;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40769,-34.62728],[-58.40676,-34.6272]]]}"
16463;3159;CONSTITUCION;3048;3100;3047;3099;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40859,-34.62735],[-58.40769,-34.62728]]]}"
16468;17094;PI Y MARGALL;602;700;601;699;DULCE;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.36523,-34.62688],[-58.36567,-34.62733]]]}"
16473;4079;DOBLAS;802;900;801;899;TORINO;CALLE;correción numeración 16-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42963,-34.62741],[-58.42992,-34.62615]]]}"
16476;3159;CONSTITUCION;3102;3150;3101;3149;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40948,-34.62741],[-58.40859,-34.62735]]]}"
16494;7026;GARAY, JUAN DE AV.;1902;2000;1901;1999;GARAY - BRASIL;AVENIDA;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39216,-34.62726],[-58.39321,-34.62745]]]}"
16499;17128;PUAN;302;400;301;399;;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44703,-34.62747],[-58.44738,-34.62662],[-58.44748,-34.62638]]]}"
